Age,Survived,Ticket
22.0,0,A/5 21171
38.0,1,PC 17599
26.0,1,STON/O2. 3101282
35.0,1,113803
35.0,0,373450
,0,330877
54.0,0,17463
2.0,0,349909
27.0,1,347742
14.0,1,237736
4.0,1,PP 9549
58.0,1,113783
20.0,0,A/5. 2151
39.0,0,347082
14.0,0,350406
55.0,1,248706
2.0,0,382652
,1,244373
31.0,0,345763
,1,2649
35.0,0,239865
34.0,1,248698
15.0,1,330923
28.0,1,113788
8.0,0,349909
38.0,1,347077
,0,2631
19.0,0,19950
,1,330959
,0,349216
40.0,0,PC 17601
,1,PC 17569
,1,335677
66.0,0,C.A. 24579
28.0,0,PC 17604
42.0,0,113789
,1,2677
21.0,0,A./5. 2152
18.0,0,345764
14.0,1,2651
40.0,0,7546
27.0,0,11668
,0,349253
3.0,1,SC/Paris 2123
19.0,1,330958
,0,S.C./A.4. 23567
,0,370371
,1,14311
,0,2662
18.0,0,349237
7.0,0,3101295
21.0,0,A/4. 39886
49.0,1,PC 17572
29.0,1,2926
65.0,0,113509
,1,19947
21.0,1,C.A. 31026
28.5,0,2697
5.0,1,C.A. 34651
11.0,0,CA 2144
22.0,0,2669
38.0,1,113572
45.0,0,36973
4.0,0,347088
,0,PC 17605
,1,2661
29.0,1,C.A. 29395
19.0,0,S.P. 3464
17.0,1,3101281
26.0,0,315151
32.0,0,C.A. 33111
16.0,0,CA 2144
21.0,0,S.O.C. 14879
26.0,0,2680
32.0,1,1601
25.0,0,348123
,0,349208
,0,374746
0.83,1,248738
30.0,1,364516
22.0,0,345767
29.0,1,345779
,1,330932
28.0,0,113059
17.0,1,SO/C 14885
33.0,1,3101278
16.0,0,W./C. 6608
,0,SOTON/OQ 392086
23.0,1,19950
24.0,0,343275
29.0,0,343276
20.0,0,347466
46.0,0,W.E.P. 5734
26.0,0,C.A. 2315
59.0,0,364500
,0,374910
71.0,0,PC 17754
23.0,1,PC 17759
34.0,1,231919
34.0,0,244367
28.0,0,349245
,0,349215
21.0,0,35281
33.0,0,7540
37.0,0,3101276
28.0,0,349207
21.0,1,343120
,1,312991
38.0,0,349249
,1,371110
47.0,0,110465
14.5,0,2665
22.0,0,324669
20.0,0,4136
17.0,0,2627
21.0,0,STON/O 2. 3101294
70.5,0,370369
29.0,0,11668
24.0,0,PC 17558
2.0,0,347082
21.0,0,S.O.C. 14879
,0,A4. 54510
32.5,0,237736
32.5,1,27267
54.0,0,35281
12.0,1,2651
,0,370372
24.0,1,C 17369
,1,2668
45.0,0,347061
33.0,0,349241
20.0,0,SOTON/O.Q. 3101307
47.0,0,A/5. 3337
29.0,1,228414
25.0,0,C.A. 29178
23.0,0,SC/PARIS 2133
19.0,1,11752
37.0,0,113803
16.0,0,7534
24.0,0,PC 17593
,0,2678
22.0,1,347081
24.0,1,STON/O2. 3101279
19.0,0,365222
18.0,0,231945
19.0,0,C.A. 33112
27.0,1,350043
9.0,0,W./C. 6608
36.5,0,230080
42.0,0,244310
51.0,0,S.O.P. 1166
22.0,1,113776
55.5,0,A.5. 11206
40.5,0,A/5. 851
,0,Fa 265302
51.0,0,PC 17597
16.0,1,35851
30.0,0,SOTON/OQ 392090
,0,315037
,0,CA. 2343
44.0,0,371362
40.0,1,C.A. 33595
26.0,0,347068
17.0,0,315093
1.0,0,3101295
9.0,1,363291
,1,113505
45.0,0,347088
,0,PC 17318
28.0,0,1601
61.0,0,111240
4.0,0,382652
1.0,1,347742
21.0,0,STON/O 2. 3101280
56.0,0,17764
18.0,0,350404
,0,4133
50.0,0,PC 17595
30.0,0,250653
36.0,0,LINE
,0,CA. 2343
,0,SC/PARIS 2131
9.0,0,347077
1.0,1,230136
4.0,1,315153
,0,113767
,1,370365
45.0,1,111428
40.0,0,364849
36.0,0,349247
32.0,1,234604
19.0,0,28424
19.0,1,350046
3.0,1,230080
44.0,1,PC 17610
58.0,1,PC 17569
,0,368703
42.0,0,4579
,1,370370
24.0,0,248747
28.0,0,345770
,0,CA. 2343
34.0,0,3101264
45.5,0,2628
18.0,1,A/5 3540
2.0,0,347054
32.0,0,3101278
26.0,1,2699
16.0,1,367231
40.0,1,112277
24.0,0,SOTON/O.Q. 3101311
35.0,1,F.C.C. 13528
22.0,0,A/5 21174
30.0,0,250646
,0,367229
31.0,1,35273
27.0,1,STON/O2. 3101283
42.0,0,243847
32.0,1,11813
30.0,0,W/C 14208
16.0,1,SOTON/OQ 392089
27.0,0,220367
51.0,0,21440
,0,349234
38.0,1,19943
22.0,0,PP 4348
19.0,1,SW/PP 751
20.5,0,A/5 21173
18.0,0,236171
,0,4133
35.0,1,36973
29.0,0,347067
59.0,0,237442
5.0,1,347077
24.0,0,C.A. 29566
,0,W./C. 6609
44.0,0,26707
8.0,1,C.A. 31921
19.0,0,28665
33.0,0,SCO/W 1585
,0,2665
,1,367230
29.0,0,W./C. 14263
22.0,0,STON/O 2. 3101275
30.0,0,2694
44.0,0,19928
25.0,0,347071
24.0,1,250649
37.0,1,11751
54.0,0,244252
,0,362316
29.0,0,347054
62.0,0,113514
30.0,0,A/5. 3336
41.0,0,370129
29.0,1,2650
,1,PC 17585
30.0,1,110152
35.0,1,PC 17755
50.0,1,230433
,0,384461
3.0,1,347077
52.0,0,110413
40.0,0,112059
,0,382649
36.0,0,C.A. 17248
16.0,0,3101295
25.0,1,347083
58.0,1,PC 17582
35.0,1,PC 17760
,0,113798
25.0,1,LINE
41.0,1,250644
37.0,0,PC 17596
,1,370375
63.0,1,13502
45.0,0,347073
,0,239853
7.0,0,382652
35.0,1,C.A. 2673
65.0,0,336439
28.0,0,347464
16.0,0,345778
19.0,1,A/5. 10482
,0,113056
33.0,0,349239
30.0,1,345774
22.0,0,349206
42.0,1,237798
22.0,1,370373
26.0,1,19877
19.0,1,11967
36.0,0,SC/Paris 2163
24.0,0,349236
24.0,0,349233
,0,PC 17612
23.5,0,2693
2.0,0,113781
,1,19988
50.0,1,PC 17558
,1,9234
,1,367226
19.0,0,LINE
,1,226593
,0,A/5 2466
0.92,1,113781
,1,17421
17.0,1,PC 17758
30.0,0,P/PP 3381
30.0,1,PC 17485
24.0,1,11767
18.0,1,PC 17608
26.0,0,250651
28.0,0,349243
43.0,0,F.C.C. 13529
26.0,1,347470
24.0,1,244367
54.0,0,29011
31.0,1,36928
40.0,1,16966
22.0,0,A/5 21172
27.0,0,349219
30.0,1,234818
22.0,1,248738
,0,CA. 2343
36.0,1,PC 17760
61.0,0,345364
36.0,1,28551
31.0,1,363291
16.0,1,111361
,1,367226
45.5,0,113043
38.0,0,PC 17582
16.0,0,345764
,1,PC 17611
,0,349225
29.0,0,113776
41.0,1,16966
45.0,1,7598
45.0,0,113784
2.0,1,230080
24.0,1,19950
28.0,0,248740
25.0,0,244361
36.0,0,229236
24.0,1,248733
40.0,1,31418
,1,386525
3.0,1,C.A. 37671
42.0,0,315088
23.0,0,7267
,0,113510
15.0,0,2695
25.0,0,349237
,0,2647
28.0,0,345783
22.0,1,113505
38.0,0,237671
,1,330931
,1,330980
40.0,0,347088
29.0,0,SC/PARIS 2167
45.0,0,2691
35.0,0,SOTON/O.Q. 3101310
,0,370365
30.0,0,C 7076
60.0,1,110813
,1,2626
,1,14313
24.0,1,PC 17477
25.0,1,11765
18.0,0,3101267
19.0,0,323951
22.0,0,PC 17760
3.0,0,349909
,1,PC 17604
22.0,1,C 7077
27.0,0,113503
20.0,0,2648
19.0,0,347069
42.0,1,PC 17757
1.0,1,2653
32.0,0,STON/O 2. 3101293
35.0,1,113789
,0,349227
18.0,0,S.O.C. 14879
1.0,0,CA 2144
36.0,1,27849
,0,367655
17.0,1,SC 1748
36.0,1,113760
21.0,1,350034
28.0,0,3101277
23.0,1,35273
24.0,1,PP 9549
22.0,0,350052
31.0,0,350407
46.0,0,28403
23.0,0,244278
28.0,1,240929
39.0,1,STON/O 2. 3101289
26.0,0,341826
21.0,0,4137
28.0,0,STON/O2. 3101279
20.0,0,315096
34.0,0,28664
51.0,0,347064
3.0,1,29106
21.0,0,312992
,0,4133
,0,349222
,0,394140
33.0,1,19928
,0,239853
44.0,1,STON/O 2. 3101269
,0,343095
34.0,1,28220
18.0,1,250652
30.0,0,28228
10.0,0,345773
,0,349254
21.0,0,A/5. 13032
29.0,0,315082
28.0,0,347080
18.0,0,370129
,0,A/4. 34244
28.0,1,2003
19.0,1,250655
,0,364851
32.0,1,SOTON/O.Q. 392078
28.0,1,110564
,1,376564
42.0,1,SC/AH 3085
17.0,0,STON/O 2. 3101274
50.0,0,13507
14.0,1,113760
21.0,0,W./C. 6608
24.0,1,29106
64.0,0,19950
31.0,0,C.A. 18723
45.0,1,F.C.C. 13529
20.0,0,345769
25.0,0,347076
28.0,1,230434
,1,65306
4.0,1,33638
13.0,1,250644
34.0,1,113794
5.0,1,2666
52.0,1,113786
36.0,0,C.A. 34651
,0,65303
30.0,0,113051
49.0,1,17453
,0,A/5 2817
29.0,1,349240
65.0,0,13509
,1,17464
50.0,1,F.C.C. 13531
,0,371060
48.0,1,19952
34.0,0,364506
47.0,0,111320
48.0,0,234360
,0,A/S 2816
38.0,0,SOTON/O.Q. 3101306
,0,239853
56.0,0,113792
,0,36209
0.75,1,2666
,0,323592
38.0,0,315089
33.0,1,C.A. 34651
23.0,1,SC/AH Basle 541
22.0,0,7553
,0,110465
34.0,0,31027
29.0,0,3460
22.0,0,350060
2.0,1,3101298
9.0,0,CA 2144
,0,239854
50.0,0,A/5 3594
63.0,1,4134
25.0,1,11967
,0,4133
35.0,1,19943
58.0,0,11771
30.0,0,A.5. 18509
9.0,1,C.A. 37671
,0,65304
21.0,0,SOTON/OQ 3101317
55.0,0,113787
71.0,0,PC 17609
21.0,0,A/4 45380
,0,2627
54.0,1,36947
,0,C.A. 6212
25.0,0,113781
24.0,0,350035
17.0,0,315086
21.0,0,364846
,0,330909
37.0,0,4135
16.0,1,110152
18.0,0,PC 17758
33.0,1,26360
,1,111427
28.0,0,C 4001
26.0,1,1601
29.0,1,382651
,0,SOTON/OQ 3101316
36.0,1,PC 17473
54.0,1,PC 17603
24.0,0,349209
47.0,0,36967
34.0,1,C.A. 34260
,0,371110
36.0,1,226875
32.0,0,349242
30.0,1,12749
22.0,0,349252
,0,2624
44.0,1,111361
,0,2700
40.5,0,367232
50.0,1,W./C. 14258
,0,PC 17483
39.0,0,3101296
23.0,0,29104
2.0,1,26360
,0,2641
17.0,0,2690
,1,2668
30.0,0,315084
7.0,1,F.C.C. 13529
45.0,0,113050
30.0,1,PC 17761
,0,364498
22.0,1,13568
36.0,1,WE/P 5735
9.0,0,347082
11.0,0,347082
32.0,1,2908
50.0,0,PC 17761
64.0,0,693
19.0,1,2908
,1,SC/PARIS 2146
33.0,0,363291
8.0,1,C.A. 33112
17.0,1,17421
27.0,0,244358
,0,330979
22.0,1,2620
22.0,1,347085
62.0,0,113807
48.0,1,11755
,0,PC 17757
39.0,1,110413
36.0,1,345572
,0,372622
40.0,0,349251
28.0,0,218629
,0,SOTON/OQ 392082
,0,SOTON/O.Q. 392087
24.0,0,A/4 48871
19.0,0,349205
29.0,0,349909
,0,2686
32.0,1,350417
62.0,1,S.W./PP 752
53.0,1,11769
36.0,1,PC 17474
,1,14312
16.0,0,A/4. 20589
19.0,0,358585
34.0,1,243880
39.0,1,13507
,0,2689
32.0,1,STON/O 2. 3101286
25.0,1,237789
39.0,1,17421
54.0,0,28403
36.0,0,13049
,0,3411
18.0,1,110413
47.0,0,237565
60.0,1,13567
22.0,0,14973
,0,A./5. 3235
35.0,0,STON/O 2. 3101273
52.0,1,36947
47.0,0,A/5 3902
,0,364848
37.0,0,SC/AH 29037
36.0,0,345773
,1,248727
49.0,0,LINE
,0,2664
49.0,1,PC 17485
24.0,1,243847
,0,349214
,0,113796
44.0,0,364511
35.0,1,111426
36.0,0,349910
30.0,0,349246
27.0,1,113804
22.0,1,SC/Paris 2123
40.0,1,PC 17582
39.0,0,347082
,0,SOTON/O.Q. 3101305
,1,367230
,0,370377
35.0,0,364512
24.0,1,220845
34.0,0,347080
26.0,0,A/5. 3336
4.0,1,230136
26.0,0,31028
27.0,0,2659
42.0,1,11753
20.0,1,2653
21.0,0,350029
21.0,0,54636
61.0,0,36963
57.0,0,219533
21.0,1,13502
26.0,0,349224
,0,334912
80.0,1,27042
51.0,0,347743
32.0,1,13214
,0,112052
9.0,0,347088
28.0,1,237668
32.0,0,STON/O 2. 3101292
31.0,0,C.A. 31921
41.0,0,3101295
,0,376564
20.0,0,350050
24.0,1,PC 17477
2.0,0,347088
,1,1601
0.75,1,2666
48.0,1,PC 17572
19.0,0,349231
56.0,1,13213
,0,S.O./P.P. 751
23.0,1,CA. 2314
,0,349221
18.0,1,231919
21.0,0,8475
,1,330919
18.0,0,365226
24.0,0,S.O.C. 14879
,0,349223
32.0,0,364849
23.0,0,29751
58.0,0,35273
50.0,1,PC 17611
40.0,0,2623
47.0,0,5727
36.0,0,349210
20.0,1,STON/O 2. 3101285
32.0,0,S.O.C. 14879
25.0,0,234686
,0,312993
43.0,0,A/5 3536
,1,19996
40.0,1,29750
31.0,0,F.C. 12750
70.0,0,C.A. 24580
31.0,1,244270
,0,239856
18.0,0,349912
24.5,0,342826
18.0,1,4138
43.0,0,CA 2144
36.0,1,PC 17755
,0,330935
27.0,1,PC 17572
20.0,0,6563
14.0,0,CA 2144
60.0,0,29750
25.0,0,SC/Paris 2123
14.0,0,3101295
19.0,0,349228
18.0,0,350036
15.0,1,24160
31.0,1,17474
4.0,1,349256
,1,1601
25.0,0,2672
60.0,0,113800
52.0,0,248731
44.0,0,363592
,1,35852
49.0,0,17421
42.0,0,348121
18.0,1,PC 17757
35.0,1,PC 17475
18.0,0,2691
25.0,0,36864
26.0,0,350025
39.0,0,250655
45.0,1,223596
42.0,1,PC 17476
22.0,1,113781
,1,2661
24.0,1,PC 17482
,0,113028
48.0,1,19996
29.0,0,7545
52.0,0,250647
19.0,0,348124
38.0,1,PC 17757
27.0,1,34218
,0,36568
33.0,0,347062
6.0,1,248727
17.0,0,350048
34.0,0,12233
50.0,0,250643
27.0,1,113806
20.0,0,315094
30.0,1,31027
,1,36866
25.0,0,236853
25.0,0,STON/O2. 3101271
29.0,1,24160
11.0,0,2699
,0,239855
23.0,0,28425
23.0,0,233639
28.5,0,54636
48.0,0,W./C. 6608
35.0,1,PC 17755
,0,349201
,0,349218
,1,16988
36.0,0,19877
21.0,1,PC 17608
24.0,0,376566
31.0,1,STON/O 2. 3101288
70.0,0,WE/P 5735
16.0,0,C.A. 2673
30.0,1,250648
19.0,0,113773
31.0,0,335097
4.0,1,29103
6.0,1,392096
33.0,0,345780
23.0,0,349204
48.0,1,220845
0.67,1,250649
28.0,0,350042
18.0,0,29108
34.0,0,363294
33.0,1,110152
,0,358585
41.0,0,SOTON/O2 3101272
20.0,1,2663
36.0,1,113760
16.0,0,347074
51.0,1,13502
,0,112379
30.5,0,364850
,0,371110
32.0,0,8471
24.0,0,345781
48.0,0,350047
57.0,0,S.O./P.P. 3
,0,2674
54.0,1,29105
18.0,0,347078
,0,383121
5.0,1,364516
,0,36865
43.0,1,24160
13.0,1,2687
17.0,1,17474
29.0,0,113501
,0,W./C. 6607
25.0,0,SOTON/O.Q. 3101312
25.0,0,374887
18.0,1,3101265
8.0,0,382652
1.0,1,C.A. 2315
46.0,0,PC 17593
,0,12460
16.0,0,239865
,0,CA. 2343
,0,PC 17600
25.0,0,349203
39.0,0,28213
49.0,1,17465
31.0,1,349244
30.0,0,2685
30.0,0,345773
34.0,0,250647
31.0,1,C.A. 31921
11.0,1,113760
0.42,1,2625
27.0,1,347089
31.0,0,347063
39.0,0,112050
18.0,0,347087
39.0,0,248723
33.0,1,113806
26.0,0,3474
39.0,0,A/4 48871
35.0,0,28206
6.0,0,347082
30.5,0,364499
,0,112058
23.0,0,STON/O2. 3101290
31.0,0,S.C./PARIS 2079
43.0,0,C 7075
10.0,0,347088
52.0,1,12749
27.0,1,315098
38.0,0,19972
27.0,1,392096
2.0,0,3101295
,0,368323
,0,1601
1.0,1,S.C./PARIS 2079
,1,367228
62.0,1,113572
15.0,1,2659
0.83,1,29106
,0,2671
23.0,0,347468
18.0,0,2223
39.0,1,PC 17756
21.0,0,315097
,0,392092
32.0,1,1601
,1,11774
20.0,0,SOTON/O2 3101287
16.0,0,S.O./P.P. 3
30.0,1,113798
34.5,0,2683
17.0,0,315090
42.0,0,C.A. 5547
,0,CA. 2343
35.0,0,349213
28.0,0,248727
,1,17453
4.0,0,347082
74.0,0,347060
9.0,0,2678
16.0,1,PC 17592
44.0,0,244252
18.0,1,392091
45.0,1,36928
51.0,1,113055
24.0,1,2666
,0,2629
41.0,0,350026
21.0,0,28134
48.0,1,17466
,0,CA. 2343
24.0,0,233866
42.0,1,236852
27.0,1,SC/PARIS 2149
31.0,0,PC 17590
,0,345777
4.0,1,347742
26.0,0,349248
47.0,1,11751
33.0,0,695
47.0,0,345765
28.0,1,P/PP 3381
15.0,1,2667
20.0,0,7534
19.0,0,349212
,0,349217
56.0,1,11767
25.0,1,230433
33.0,0,349257
22.0,0,7552
28.0,0,C.A./SOTON 34068
25.0,0,SOTON/OQ 392076
39.0,0,382652
27.0,0,211536
19.0,1,112053
,0,W./C. 6607
26.0,1,111369
32.0,0,370376
